concertNumber,Date,Location,Time,Venue,eventType,season,programID,orchestra,id
2695,1921-02-01T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13706,New/National Symphony Orchestra,b1cfc2ce-97ac-4b0d-8e8c-bcef0ae47ba1
2696,1921-02-02T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13706,New/National Symphony Orchestra,b1cfc2ce-97ac-4b0d-8e8c-bcef0ae47ba1
2697,1921-02-03T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,8579,New York Symphony,0b080d02-9ed0-458f-bd7d-fa3b0675f4a3
2698,1921-02-04T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,8579,New York Symphony,0b080d02-9ed0-458f-bd7d-fa3b0675f4a3
2699,1921-02-04T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,4279,New York Philharmonic,9b32be26-6b4f-4df7-ba20-6d0e4f879d31
2700,1921-02-05T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,4285,New York Philharmonic,8485eafb-e2a7-44ba-a098-da410dff458d
2701,1921-02-06T05:00:00Z,"Manhattan, NY",3:00PM,Aeolian Hall,Subscription Season,1920-21,8580,New York Symphony,e78eec4c-1512-45b2-a06a-68f145526eb8
2702,1921-02-06T05:00:00Z,"Brooklyn, NY",3:15PM,Brooklyn Academy of Music,Subscription Season,1920-21,4289,New York Philharmonic,13149bcb-4a83-4c0c-b209-7bd027ce7977
2703,1921-02-07T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13954,New/National Symphony Orchestra,4f0cc59f-5c9c-4bdd-90b4-ed41ddf73251
2704,1921-02-08T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13696,New/National Symphony Orchestra,61b148b2-6875-43eb-a6cf-9c2d2963293e
2705,1921-02-09T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13696,New/National Symphony Orchestra,61b148b2-6875-43eb-a6cf-9c2d2963293e
2706,1921-02-10T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,8581,New York Symphony,4aadfc93-a5c0-4cc3-9b66-a8e1eed6c7c2
2707,1921-02-11T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,8581,New York Symphony,4aadfc93-a5c0-4cc3-9b66-a8e1eed6c7c2
2708,1921-02-10T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,4293,New York Philharmonic,2863f6ce-7929-4254-85fc-3c23f25e34b4
2709,1921-02-11T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,4296,New York Philharmonic,097a79bc-e33f-491f-8d32-3d386c723c49
2710,1921-02-12T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13697,New/National Symphony Orchestra,90821c15-b48c-45de-8cb9-4d7bebae3523
2711,1921-02-15T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13697,New/National Symphony Orchestra,90821c15-b48c-45de-8cb9-4d7bebae3523
2712,1921-02-12T05:00:00Z,"Brooklyn, NY",8:15PM,Hall of the Commercial High School,Subscription Season,1920-21,4300,New York Philharmonic,19dc9251-6633-4d6b-afe8-64e9bfcb3278
2713,1921-02-13T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,4304,New York Philharmonic,faadd0a3-3f41-4e0b-b408-5f07f733ffaf
2714,1921-02-13T05:00:00Z,"Manhattan, NY",3:00PM,Aeolian Hall,Subscription Season,1920-21,8582,New York Symphony,ac6ff679-af14-43bf-b063-6f464f078320
2715,1921-02-14T05:00:00Z,"Washington, DC",4:30PM,National Theatre,Tour,1920-21,6009,New York Philharmonic,5fcd6b1b-7af1-4c01-b546-95e4b136f81a
2716,1921-02-14T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,8583,New York Symphony,4a241dca-7497-4f01-a5b4-b725569cc094
2717,1921-02-15T05:00:00Z,"Hagerstown, MD",8:15PM,Nixon's Academy of Music,Tour,1920-21,6013,New York Philharmonic,56de985d-e71b-482b-a977-4ce18cde0ff7
2718,1921-02-16T05:00:00Z,"Reading, PA",8:30PM,Rajah Theatre,Tour,1920-21,13408,New York Philharmonic,a249a6da-4509-4e2a-94c4-95ec82e8da15
2719,1921-02-17T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,8584,New York Symphony,543c7675-377f-4a88-aa19-4004bb531cf4
2720,1921-02-18T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,8584,New York Symphony,543c7675-377f-4a88-aa19-4004bb531cf4
2721,1921-02-17T05:00:00Z,"Wilkes-Barre, PA",8:30PM,Irem Temple,Tour,1920-21,6017,New York Philharmonic,24383fc2-9a79-48ae-b69d-6a0506efd2e1
2722,1921-02-17T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13955,New/National Symphony Orchestra,d684d16f-fa49-4d7c-88df-d410b6e03b6c
2723,1921-02-18T05:00:00Z,"Easton, PA",8:15PM,Orpheum Theatre,Tour,1920-21,6021,New York Philharmonic,0d51396f-dee8-42d9-9dc1-0dd2ea0192b9
2724,1921-02-19T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Young People's Concert,1920-21,10345,New York Symphony,5fbea57f-1f6c-427f-9c2a-145ca2518f85
2725,1921-02-20T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13957,New/National Symphony Orchestra,815eeba3-a13c-4907-94c1-add28209ab8f
2726,1921-02-20T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,4308,New York Philharmonic,68f23a5a-9309-4dd2-bc23-803c09994d09
2727,1921-02-21T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13698,New/National Symphony Orchestra,c716a829-3743-401b-b59e-2784b34db9d6
2728,1921-02-23T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13698,New/National Symphony Orchestra,c716a829-3743-401b-b59e-2784b34db9d6
2729,1921-02-23T05:00:00Z,"Manhattan, NY",8:30PM,Waldorf-Astoria Hotel,Private Concert,1920-21,4315,New York Philharmonic,d8d55e62-250c-48ae-9aeb-62178a4a82d4
2730,1921-02-24T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,1348,New York Philharmonic,3f174dbd-7037-4d3b-9abd-036b0e32277a
2731,1921-02-24T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13699,New/National Symphony Orchestra,a9e47e80-889b-4b3b-b0fa-cf5e53398f4b
2732,1921-02-26T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13699,New/National Symphony Orchestra,a9e47e80-889b-4b3b-b0fa-cf5e53398f4b
2733,1921-02-25T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,1352,New York Philharmonic,2f1dc5b7-3f92-438a-abff-8b2c19497d3d
2734,1921-02-26T05:00:00Z,"Poughkeepsie, NY",7:30PM,Students' Auditorium,Runout,1920-21,1357,New York Philharmonic,465ca06a-dbf3-40f7-9d72-4fa47a3640e0
2735,1921-02-27T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13707,New/National Symphony Orchestra,bbfce6a3-44f5-474c-bf58-3f4a3bdebecc
2736,1921-02-27T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,1362,New York Philharmonic,bfacb86e-636c-44ac-8b33-1abcdca8bcbd
2737,1921-03-01T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13700,New/National Symphony Orchestra,409a7a93-f6ce-4b00-804d-7e34aeb37c9f
2738,1921-03-02T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13700,New/National Symphony Orchestra,409a7a93-f6ce-4b00-804d-7e34aeb37c9f
2739,1921-03-03T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,4691,New York Philharmonic,524da041-929e-4d38-9333-48855631cb5e
2740,1921-03-04T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,4696,New York Philharmonic,2546a4f4-2312-4b26-abb3-769eac59d88d
2741,1921-03-05T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,4700,New York Philharmonic,8c1e3e1d-d190-42d6-bed9-712629b0fdcf
2742,1921-03-05T05:00:00Z,"Manhattan, NY",None,Carnegie Hall,Young People's Concert,1920-21,10346,New York Symphony,41898475-9f12-4685-9437-9de763f4dc25
2743,1921-03-06T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13708,New/National Symphony Orchestra,628257d8-65bf-4671-b337-216b67c5dd3e
2744,1921-03-06T05:00:00Z,"Brooklyn, NY",3:15PM,Brooklyn Academy of Music,Subscription Season,1920-21,4704,New York Philharmonic,98dde3e7-d3ad-46e1-bb5c-ba98dba4aea4
2745,1921-03-06T05:00:00Z,"Manhattan, NY",3:00PM,Aeolian Hall,Subscription Season,1920-21,8585,New York Symphony,b47d130d-3905-4e21-8dee-64593fd7caa3
2746,1921-03-07T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13701,New/National Symphony Orchestra,1c7d0d2b-d891-4707-b657-b192175754ef
2747,1921-03-09T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13701,New/National Symphony Orchestra,1c7d0d2b-d891-4707-b657-b192175754ef
2748,1921-03-08T05:00:00Z,"Princeton, NJ",8:30PM,Alexander Hall,Runout,1920-21,4711,New York Philharmonic,c86be2d9-f8ec-4f4f-b77a-6ab8b53a9d7a
2749,1921-03-10T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,8586,New York Symphony,0c31a860-18c3-40ef-9535-3f58335bc5e1
2750,1921-03-11T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,8586,New York Symphony,0c31a860-18c3-40ef-9535-3f58335bc5e1
2751,1921-03-10T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,4716,New York Philharmonic,de87cd10-d634-413c-b940-1bd657f3650f
2752,1921-03-11T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,4723,New York Philharmonic,dcb315db-565c-4ea0-89c3-f96468d989ce
2753,1921-03-13T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13709,New/National Symphony Orchestra,142fab08-7fe1-4e5b-8e33-96b08500b67f
2754,1921-03-13T05:00:00Z,"Manhattan, NY",3:00PM,Aeolian Hall,Subscription Season,1920-21,8587,New York Symphony,53454bb9-de26-487f-aa46-298914aac3fb
2755,1921-03-13T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,4730,New York Philharmonic,b055688c-0915-4c66-920a-a17c05638ad8
2756,1921-03-14T05:00:00Z,"Utica, NY",8:15PM,Gaiety Theatre,Tour,1920-21,569,New York Philharmonic,4d40f565-9cf0-4868-bc31-4016d70aa435
2757,1921-03-15T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13958,New/National Symphony Orchestra,4477ac03-5fc8-4e27-a192-942bd7484555
2758,1921-03-15T05:00:00Z,"Buffalo, NY",None,Elmwood Hall,Tour,1920-21,576,New York Philharmonic,76f3b22f-1d6f-45bf-8573-3d7acfc6d4a3
2759,1921-03-16T05:00:00Z,"Detroit, MI",8:15PM,Orchestra Hall,Tour,1920-21,581,New York Philharmonic,c2f771ad-0894-4eb2-9550-2ebb9459a9bc
2760,1921-03-17T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,8592,New York Symphony,d1354fb3-83b7-41f6-8c17-1c06dc1143d3
2761,1921-03-18T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,8592,New York Symphony,d1354fb3-83b7-41f6-8c17-1c06dc1143d3
2762,1921-03-17T05:00:00Z,"Columbus, OH",8:15PM,Memorial Hall,Tour,1920-21,588,New York Philharmonic,21460e14-8f7e-4c36-860c-ec98e27b8c6a
2763,1921-03-18T05:00:00Z,"Cleveland, OH",8:15PM,New Masonic Hall,Tour,1920-21,594,New York Philharmonic,2524d039-ee33-4d24-a3f7-d09996479c1f
2764,1921-03-19T05:00:00Z,"Cleveland, OH",2:30PM,New Masonic Hall,Tour,1920-21,594,New York Philharmonic,2524d039-ee33-4d24-a3f7-d09996479c1f
2765,1921-03-19T05:00:00Z,"Manhattan, NY",11:00AM,Aeolian Hall,Young People's Concert,1920-21,10347,New York Symphony,1ace0544-247e-4f74-ba5d-345e86bb60b7
2766,1921-03-20T05:00:00Z,"Manhattan, NY",3:00PM,Aeolian Hall,Subscription Season,1920-21,8593,New York Symphony,c099406b-1c40-4fd0-8c30-a285c2e4cbf5
2767,1921-03-20T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13959,New/National Symphony Orchestra,555ce0ef-917a-4c88-9f37-9dc88606ddd5
2768,1921-03-20T05:00:00Z,"Erie, PA",3:30PM,Park Opera House,Tour,1920-21,600,New York Philharmonic,199c8491-e1f3-4830-97c4-a88b90d2ec28
2769,1921-03-21T05:00:00Z,"Toronto, CANADA",8:15PM,Massey Hall,Tour,1920-21,604,New York Philharmonic,713190c8-cfd5-4163-8889-57cf6c60e210
2770,1921-03-22T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13702,New/National Symphony Orchestra,1edbec46-ac61-434a-b451-23f1d29f8de7
2771,1921-03-23T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13702,New/National Symphony Orchestra,1edbec46-ac61-434a-b451-23f1d29f8de7
2772,1921-03-24T05:00:00Z,"Manhattan, NY",8:30PM,Carnegie Hall,Subscription Season,1920-21,4742,New York Philharmonic,0290a771-358f-4b95-8c2b-42ec125150a0
2773,1921-03-25T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13710,New/National Symphony Orchestra,bee64018-2916-4385-8312-84c0085bf5a5
2774,1921-03-25T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,5750,New York Philharmonic,52f030b5-9c24-4e93-9357-aecfea1057ad
2775,1921-03-27T05:00:00Z,"Manhattan, NY",3:00PM,Carnegie Hall,Subscription Season,1920-21,5756,New York Philharmonic,ac88edf6-5389-4570-8453-f37982be77f6
2776,1921-03-28T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13960,New/National Symphony Orchestra,2926fcb3-97cd-4ab1-9d13-9910f5582708
2777,1921-03-29T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13960,New/National Symphony Orchestra,2926fcb3-97cd-4ab1-9d13-9910f5582708
2778,1921-03-28T05:00:00Z,"Allentown, PA",None,Lyric Theatre,Tour,1920-21,611,New York Philharmonic,02f8e49f-ce4f-4cf6-9602-79abeb1ffb3e
2779,1921-03-29T05:00:00Z,"Cumberland, MD",8:15PM,Strand Theatre,Tour,1920-21,616,New York Philharmonic,91a752a3-7e47-402e-806e-0caa4a5b540a
2780,1921-03-30T05:00:00Z,"Greensburg, PA",8:15PM,High School Auditorium,Tour,1920-21,628,New York Philharmonic,b4008a35-f7ff-4812-8cce-2d57db80f18c
2781,1921-03-31T05:00:00Z,"Dayton, OH",None,Civic Music league,Tour,1920-21,634,New York Philharmonic,46bb2227-74f4-4d08-a602-9d4fc6ce4fe2
2782,1921-04-01T05:00:00Z,"Louisville, KY",None,Unknown Venue,Tour,1920-21,4920,New York Philharmonic,19495b44-f91b-49bf-8d89-f8eb971b62aa
2783,1921-04-01T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13961,New/National Symphony Orchestra,4a6f78d4-c1dc-4086-8cfd-8ff93ca028d1
2784,1921-04-06T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13961,New/National Symphony Orchestra,4a6f78d4-c1dc-4086-8cfd-8ff93ca028d1
2785,1921-04-03T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13962,New/National Symphony Orchestra,b1d3d757-625e-4518-beef-72c16ff99eb7
2786,1921-04-03T05:00:00Z,"Evansville, IN",3:00PM,Coliseum Theatre,Tour,1920-21,4926,New York Philharmonic,61a92fc2-f2eb-41fe-babc-cd1cc84c01ae
2787,1921-04-04T05:00:00Z,"Lexington, KY",None,Woodland Auditorium,Tour,1920-21,4932,New York Philharmonic,4252e615-4bfc-4682-824f-c5a377d1a244
2788,1921-04-05T05:00:00Z,"Chattanooga, TN",None,Unknown Venue,Tour,1920-21,4939,New York Philharmonic,8f947684-e672-4127-b045-3fac01636826
2789,1921-04-07T05:00:00Z,"Birmingham, AL",None,Jefferson Theater,Tour,1920-21,4954,New York Philharmonic,935516a4-eb62-4094-8ff3-6323445f2a49
2790,1921-04-07T05:00:00Z,"Birmingham, AL",None,Jefferson Theater,Tour,1920-21,4948,New York Philharmonic,e8331ad5-e27a-4ad2-9ed2-b743cc0303ed
2791,1921-04-08T05:00:00Z,"Nashville, TN",None,Ryman Auditorium,Tour,1920-21,4960,New York Philharmonic,05f5188b-416b-4386-9ad2-dda8043475a2
2792,1921-04-09T05:00:00Z,"Memphis, TN",None,Lyric Theater,Tour,1920-21,8781,New York Philharmonic,82b56f57-baee-4582-82e6-8450e8bf2242
2793,1921-04-10T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13963,New/National Symphony Orchestra,6940f044-26cd-4c11-bf20-c3631ee49afb
2794,1921-04-12T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13963,New/National Symphony Orchestra,6940f044-26cd-4c11-bf20-c3631ee49afb
2795,1921-04-11T05:00:00Z,"New Orleans, LA",None,Athenaeum,Tour,1920-21,4966,New York Philharmonic,f63d0de9-efa0-4f6b-a2b0-4e5dec37aaca
2796,1921-04-12T05:00:00Z,"Houston, TX",3:30PM,City Auditorium,Tour,1920-21,4980,New York Philharmonic,e5aa392d-f281-47a4-8235-fc34701c0e29
2797,1921-04-12T05:00:00Z,"Houston, TX",8:00PM,City Auditorium,Tour,1920-21,8211,New York Philharmonic,ca140084-253c-4be2-8318-c75cc95e293e
2798,1921-04-13T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13964,New/National Symphony Orchestra,bd895345-8174-4750-81fc-4936b56b7e41
2799,1921-04-13T05:00:00Z,"Waco, TX",8:30PM,Coliseum,Tour,1920-21,4975,New York Philharmonic,39300fa4-5d43-461b-8264-91b02d5e5c4a
2800,1921-04-14T05:00:00Z,"Dallas, TX",8:00PM,Fair Park Coliseum,Tour,1920-21,4988,New York Philharmonic,643da529-2af1-42ca-b801-4864420af024
2801,1921-04-15T05:00:00Z,"Ft. Worth, TX",None,None,Tour,1920-21,10030,New York Philharmonic,b79c2e6f-f883-43bd-bcd9-5f7dbf103e61
2802,1921-04-15T05:00:00Z,"Ft. Worth, TX",None,First Baptist Church,Tour,1920-21,4985,New York Philharmonic,9c9f96dd-1198-480c-88f6-6ce932bfa14c
2803,1921-04-16T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13703,New/National Symphony Orchestra,ae891722-485b-4ed1-beed-34ef9538be12
2804,1921-04-18T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13703,New/National Symphony Orchestra,ae891722-485b-4ed1-beed-34ef9538be12
2805,1921-04-16T05:00:00Z,"El Paso, TX",None,Unknown Venue,Tour,1920-21,13403,New York Philharmonic,5ec8a4ff-41cb-4e9f-be7a-e5f0813a8874
2806,1921-04-18T05:00:00Z,"Tucson, AZ",None,Armory,Tour,1920-21,4999,New York Philharmonic,886e95f5-de92-4c8a-a9d7-ad7b6a0cd28c
2807,1921-04-19T05:00:00Z,"Phoenix, AZ",None,High School Auditorium,Tour,1920-21,13398,New York Philharmonic,3f6006c5-e517-43fc-b950-93dd2e27380a
2808,1921-04-20T05:00:00Z,"San Diego, CA",None,Spreckels Theatre,Tour,1920-21,5009,New York Philharmonic,e22175a7-8a74-48f5-acf7-c469561e9e62
2809,1921-04-21T05:00:00Z,"Los Angeles, CA",None,Philharmonic Auditorium,Tour,1920-21,5014,New York Philharmonic,dff903a8-52cd-41f7-aae8-6f803dd301a3
2810,1921-04-22T05:00:00Z,"Los Angeles, CA",None,Philharmonic Auditorium,Tour,1920-21,5016,New York Philharmonic,f5ad8205-73a2-4daf-aac2-38b552907bf1
2811,1921-04-23T05:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13704,New/National Symphony Orchestra,745337c3-5623-47a4-9ed6-f1742af22877
2812,1921-04-26T04:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13704,New/National Symphony Orchestra,745337c3-5623-47a4-9ed6-f1742af22877
2813,1921-04-23T05:00:00Z,"Berkeley, CA",None,Greek Theatre,Tour,1920-21,8660,New York Philharmonic,7a9fc830-04dc-4624-b245-296d49f2f7a5
2814,1921-04-24T05:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13711,New/National Symphony Orchestra,cb2e7445-0061-445e-b642-0c9c1463b86c
2815,1921-04-24T05:00:00Z,"San Francisco, CA",None,Civic Auditorium,Tour,1920-21,13401,New York Philharmonic,31ba0942-cb9a-4076-b36e-f5badae9518a
2816,1921-04-26T04:00:00Z,"Portland, OR",None,Unknown Venue,Tour,1920-21,5023,New York Philharmonic,15e7cb06-c89c-4039-959f-d61074612d29
2817,1921-04-27T04:00:00Z,"Seattle, WA",8:20PM,Arena Theater,Tour,1920-21,5027,New York Philharmonic,ee27843b-a749-42c9-8727-f289e85fc239
2818,1921-04-28T04:00:00Z,"Spokane, WA",None,Auditorium Theatre,Tour,1920-21,13405,New York Philharmonic,b3f73ca0-8a20-4717-9569-3bcf6adad227
2819,1921-04-29T04:00:00Z,"Walla Walla, WA",None,Keylor Grand,Tour,1920-21,8866,New York Philharmonic,bd88d860-9524-4838-ad99-42c38788a402
2820,1921-04-29T04:00:00Z,"Manhattan, NY",2:30PM,Carnegie Hall,Subscription Season,1920-21,13705,New/National Symphony Orchestra,86623950-ddc1-4127-a66c-a43275c0c337
2821,1921-05-03T04:00:00Z,"Manhattan, NY",8:15PM,Carnegie Hall,Subscription Season,1920-21,13705,New/National Symphony Orchestra,86623950-ddc1-4127-a66c-a43275c0c337
2822,1921-04-30T04:00:00Z,"Le Grande, OR",None,L.D.S. Tabernacle,Tour,1920-21,5043,New York Philharmonic,c57fe214-842f-4969-9270-e434c88cf9b7
2823,1921-05-02T04:00:00Z,"Salt Lake City, UT",None,Salt Lake Tabernacle,Tour,1920-21,1912,New York Philharmonic,0b8763a0-674e-4e2c-8a31-f8803853fdca
2824,1921-05-02T04:00:00Z,"Salt Lake City, UT",None,Salt Lake Tabernacle,Tour,1920-21,8497,New York Philharmonic,7a1b2538-9063-47b1-8419-05f103222136
2825,1921-05-03T04:00:00Z,"Grand Junction, CO",8:30PM,The Armory,Tour,1920-21,1919,New York Philharmonic,4db62b03-3167-44ac-8f1d-7e138cb9ff8f
2826,1921-05-04T04:00:00Z,"Colorado Springs, CO",None,Burns Theater,Tour,1920-21,8567,New York Philharmonic,d476655b-cf1f-434a-b9b6-2654722504dd
2827,1921-05-05T04:00:00Z,"Denver, CO",None,Auditorium,Tour,1920-21,13400,New York Philharmonic,719e581f-bf66-4807-a1c8-221958141315
2828,1921-05-06T04:00:00Z,"Pueblo, CO",8:00PM,City Auditorium,Tour,1920-21,1936,New York Philharmonic,9105e061-e5b2-4907-b8fa-a96d14dbfdd7
2829,1921-05-07T04:00:00Z,"Wichita, KS",8:15PM,The Forum,Tour,1920-21,13406,New York Philharmonic,55466d59-54dd-4eba-aada-e2f525bc577c
2830,1921-05-08T04:00:00Z,"Manhattan, KS",None,College Auditorium,Tour,1920-21,1949,New York Philharmonic,74d69a0b-93bf-4971-927e-098157dd24a5
2831,1921-05-09T04:00:00Z,"Lawrence, KS",8:20PM,Robinson Gymnasium,Tour,1920-21,1956,New York Philharmonic,a4f4b046-5ef0-4380-b790-9de4bfde5c2e
2832,1921-05-10T04:00:00Z,"St. Joseph, MO",8:30PM,Lyceum Theatre,Tour,1920-21,1962,New York Philharmonic,d8d16329-06eb-4790-ba22-0f3688c72e40
2833,1921-05-11T04:00:00Z,"Lincoln, NE",None,City Auditorium,Tour,1920-21,10031,New York Philharmonic,42d2866b-49f7-4292-8078-aaec8b376cff
2834,1921-05-11T04:00:00Z,"Lincoln, NE",None,City Auditorium,Tour,1920-21,13402,New York Philharmonic,cd80cb31-c9f1-4350-94b8-25b149749639
2835,1921-05-12T04:00:00Z,"Des Moines, IA",None,The Coliseum,Tour,1920-21,1977,New York Philharmonic,c6f500d5-8a43-4f08-9b69-d92606f46423
2836,1921-05-13T04:00:00Z,"Sioux City, IA",None,High School Auditorium,Tour,1920-21,1984,New York Philharmonic,fecc5370-4dc3-4a5e-a462-96ffe0dbda36
2837,1921-05-14T04:00:00Z,"Sioux Falls, SD",None,Coliseum Theater,Tour,1920-21,1989,New York Philharmonic,fc22f295-549d-45bc-9dec-c2784783e07d
2838,1921-05-15T04:00:00Z,"Minneapolis, MN",3:30PM,Auditorium,Tour,1920-21,13805,New York Philharmonic,b2decae7-2fc3-4a0d-8b4c-2161c3932e9a
2839,1921-05-16T04:00:00Z,"Fargo, ND",None,Armory,Tour,1920-21,8985,New York Philharmonic,1c324d82-a23f-4f0f-bd77-dabfa99645ba
2840,1921-05-17T04:00:00Z,"Grand Forks, ND",None,City Auditorium,Tour,1920-21,2000,New York Philharmonic,c0f92064-76b2-407c-964b-aa78e2421b0e
2841,1921-05-18T04:00:00Z,"Duluth, MN",3:00PM,New Armory,Tour,1920-21,8573,New York Philharmonic,b2567606-ad59-4fac-af7e-9440b882d076
2842,1921-05-18T04:00:00Z,"Duluth, MN",None,New Armory,Tour,1920-21,8574,New York Philharmonic,db6cb646-f4ee-4154-84ea-c74db074683c
2843,1921-05-19T04:00:00Z,"Eau Claire, WI",8:00PM,Auditorium,Tour,1920-21,2013,New York Philharmonic,d6065a52-f705-4155-97e0-cb73bcb21ffe
2844,1921-05-20T04:00:00Z,"Wausau, WI",None,Rothschild Park Pavilion,Tour,1920-21,2016,New York Philharmonic,3f2ea378-8d9c-4f8d-9213-082cd46a60e5
2845,1921-05-21T04:00:00Z,"Appleton, WI",8:20PM,Lawrence Memorial Chapel,Tour,1920-21,2018,New York Philharmonic,d1362dd9-0d29-4396-a608-90a598285843
